Test_ID,Event_Time_s,Event_Type,Controller_State_From,Controller_State_To,DC_Bus_V,Relay_Command,Relay_State,Fault_Clear_Time_s,Safe_Interval_Start_Time_s,Safe_Interval_Interruptions,Configured_Recovery_Dwell_s,Message
T03,0.60925,CONTROLLER_STATE,1,2,49.6818141927253,1,1,0.618,NaN,0,0.35,Measured transition
T03,0.6245,CONTROLLER_STATE,2,1,49.4706727082049,1,1,0.618,NaN,0,0.35,Measured transition
T03,0.628,CONTROLLER_STATE,1,2,49.5132751621937,1,1,0.618,NaN,0,0.35,Measured transition
T03,0.6295,CONTROLLER_STATE,2,1,49.47329232782,1,1,0.618,NaN,0,0.35,Measured transition
T04,0.60525,CONTROLLER_STATE,1,2,49.9679334421126,1,1,0.7,NaN,0,0.35,Measured transition
T04,0.6075,CONTROLLER_STATE,2,3,53.1666623821995,1,1,0.7,NaN,0,0.35,Measured transition
T04,0.63925,CONTROLLER_STATE,3,2,52.67515096027,1,1,0.7,NaN,0,0.35,Measured transition
T04,0.65425,CONTROLLER_STATE,2,1,49.4408323656421,1,1,0.7,NaN,0,0.35,Measured transition
T04,0.60725,FAULT_DETECTION,NaN,NaN,52.8253274903124,1,1,0.7,NaN,0,0.35,Warning/emergency threshold crossing
T05,0.602,CONTROLLER_STATE,1,2,52.8039738685459,1,1,0.7,0.6915,0,0.35,Measured transition
T05,0.60225,CONTROLLER_STATE,2,3,54.8580439386504,1,1,0.7,0.6915,0,0.35,Measured transition
T05,0.6065,CONTROLLER_STATE,3,4,69.6805615397628,0,1,0.7,0.6915,0,0.35,Measured transition
T05,0.61475,PHYSICAL_RELAY,4,4,69.233713490855,0,0,0.7,0.6915,0,0.35,Measured transition
T05,0.69175,CONTROLLER_STATE,4,5,51.3255768578818,0,0,0.7,0.6915,0,0.35,Measured transition
T05,1.04175,CONTROLLER_STATE,5,6,50.4650073587827,1,0,0.7,0.6915,0,0.35,Measured transition
T05,1.042,CONTROLLER_STATE,6,2,50.4686075129281,1,0,0.7,0.6915,0,0.35,Measured transition
T05,1.054,PHYSICAL_RELAY,2,2,50.4833214869605,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.0965,CONTROLLER_STATE,2,1,49.4864681174321,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.0985,CONTROLLER_STATE,1,2,49.5107514341221,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.1015,CONTROLLER_STATE,2,1,49.4854604188384,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.10325,CONTROLLER_STATE,1,2,49.5109731899512,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.10575,CONTROLLER_STATE,2,1,49.4903613682687,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.10775,CONTROLLER_STATE,1,2,49.5153809367075,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.11,CONTROLLER_STATE,2,1,49.4804913205294,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.11325,CONTROLLER_STATE,1,2,49.5097916835848,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.11475,CONTROLLER_STATE,2,1,49.4846699475522,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.11925,CONTROLLER_STATE,1,2,49.508942969579,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.1205,CONTROLLER_STATE,2,1,49.4821126735244,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.127,CONTROLLER_STATE,1,2,49.5042779275975,1,1,0.7,0.6915,0,0.35,Measured transition
T05,1.12775,CONTROLLER_STATE,2,1,49.489142619099,1,1,0.7,0.6915,0,0.35,Measured transition
T05,0.602,FAULT_DETECTION,NaN,NaN,52.8039738685459,1,1,0.7,0.6915,0,0.35,Warning/emergency threshold crossing
T05,0.60625,TRIP_COMMAND,NaN,NaN,69.6388593680764,1,1,0.7,0.6915,0,0.35,Controller trip command
T05,0.6145,PHYSICAL_OPEN,NaN,NaN,69.27268229613,0,1,0.7,0.6915,0,0.35,Contactor physically open
T05,0.6915,SAFE_INTERVAL_START,NaN,NaN,51.3481546967765,0,0,0.7,0.6915,0,0.35,Start of uninterrupted safe interval leading to reconnect
T05,1.0415,RECONNECT_COMMAND,NaN,NaN,50.4615228731266,0,0,0.7,0.6915,0,0.35,Reconnect command after safe dwell
T05,1.05375,PHYSICAL_CLOSE,NaN,NaN,50.4871643933769,1,0,0.7,0.6915,0,0.35,Contactor physically closed
T06,0.6035,CONTROLLER_STATE,1,2,50.3922271996015,1,1,0.87,0.846,2,0.35,Measured transition
T06,0.60475,CONTROLLER_STATE,2,3,53.9126274080465,1,1,0.87,0.846,2,0.35,Measured transition
T06,0.6495,CONTROLLER_STATE,3,4,53.2808483781952,0,1,0.87,0.846,2,0.35,Measured transition
T06,0.655,CONTROLLER_STATE,4,5,51.2844984383258,0,1,0.87,0.846,2,0.35,Measured transition
T06,0.65775,PHYSICAL_RELAY,5,5,50.7245828677001,0,0,0.87,0.846,2,0.35,Measured transition
T06,0.6875,CONTROLLER_STATE,5,4,51.8650537429223,0,0,0.87,0.846,2,0.35,Measured transition
T06,0.7585,CONTROLLER_STATE,4,5,51.3261887405283,0,0,0.87,0.846,2,0.35,Measured transition
T06,0.77225,CONTROLLER_STATE,5,4,51.7687581763152,0,0,0.87,0.846,2,0.35,Measured transition
T06,0.84625,CONTROLLER_STATE,4,5,51.3366522322144,0,0,0.87,0.846,2,0.35,Measured transition
T06,1.19625,CONTROLLER_STATE,5,6,50.4305693121666,1,0,0.87,0.846,2,0.35,Measured transition
T06,1.1965,CONTROLLER_STATE,6,2,50.4320324090525,1,0,0.87,0.846,2,0.35,Measured transition
T06,1.2085,PHYSICAL_RELAY,2,2,50.5084873853795,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.2515,CONTROLLER_STATE,2,1,49.4808668622909,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.25375,CONTROLLER_STATE,1,2,49.5162406893385,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.2565,CONTROLLER_STATE,2,1,49.4902205873187,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.2585,CONTROLLER_STATE,1,2,49.5145820143211,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.261,CONTROLLER_STATE,2,1,49.482470602648,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.2635,CONTROLLER_STATE,1,2,49.5171537225454,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.26575,CONTROLLER_STATE,2,1,49.484107629453,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.26875,CONTROLLER_STATE,1,2,49.5076454519347,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.27025,CONTROLLER_STATE,2,1,49.483085872609,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.27475,CONTROLLER_STATE,1,2,49.5057598973299,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.27575,CONTROLLER_STATE,2,1,49.4866251462258,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.2845,CONTROLLER_STATE,1,2,49.5012414513803,1,1,0.87,0.846,2,0.35,Measured transition
T06,1.285,CONTROLLER_STATE,2,1,49.4909524772363,1,1,0.87,0.846,2,0.35,Measured transition
